0, 0, 249996, 499988, -1, -1, -1, -1
1, 3.83844, 1845, 3444, -1, -1, -1, -1
2, 0.017799, 2260, 12272, -1, -1, -1, -1
3, 0.772357, 16275, 85462, 1.28601e+09, 24055.2, 0, -1
7, 0.872042, 1229, 6400, 2321.92, 12.5549, -1, -1
6, 0.0159745, 6409, 32633, 2321.92, 7.77282, -1, -1
7, 0.166846, 2343, 11343, 811.797, 7.1791, -1, -1
8, 0.0584658, 2343, 10946, 811.797, 6.04153, -1, -1
9, 0.0284617, 2343, 10946, 525.65, 5.19088, -1, -1
6, 0.0103648, 4572, 21432, 525.65, 4.73633, -1, -1
7, 0.110143, 2419, 11544, 525.65, 4.7816, -1, -1
8, 0.0516507, 2419, 11499, 525.65, 4.68406, -1, -1
9, 0.0256705, 2419, 11499, 514.735, 4.45869, -1, -1
6, 0.00928896, 4127, 18609, 514.735, 4.35679, -1, -1
7, 0.0771454, 2553, 12163, 26.5852, 4.20578, -1, -1
8, 0.0491061, 2553, 12149, 26.5852, 4.17737, -1, -1
9, 0.0258907, 2553, 12149, 26.5852, 4.0995, -1, -1
6, 0.00839417, 3906, 17355, 26.5852, 4.11035, -1, -1
7, 0.0637025, 2627, 12462, 26.5852, 4.10643, -1, -1
8, 0.045111, 2627, 12452, 26.5852, 4.09251, -1, -1
9, 0.0230049, 2627, 12452, 26.5852, 4.04019, -1, -1
6, 0.0202234, 8271, 40878, 21.5772, 4.30517, -1, -1
7, 0.219724, 4580, 23178, 21.5772, 3.99654, -1, -1
8, 0.186743, 4580, 23148, 21.5772, 3.92933, -1, -1
9, 0.0354645, 4580, 23148, 20.9457, 3.74896, -1, -1
6, 0.0152077, 6503, 31478, 20.9457, 3.85793, -1, -1
7, 0.125403, 4582, 23200, 20.7114, 3.75755, -1, -1
8, 0.0984326, 4582, 23188, 20.7114, 3.74418, -1, -1
9, 0.0335733, 4582, 23188, 18.1305, 3.6686, -1, -1
6, 0.0140838, 6067, 29236, 18.1305, 3.76581, -1, -1
7, 0.0887976, 4579, 23223, 18.1305, 3.68193, -1, -1
8, 0.0840487, 4579, 23214, 18.1305, 3.67426, -1, -1
9, 0.034599, 4579, 23214, 17.8985, 3.63153, -1, -1
6, 0.0135829, 5914, 28885, 18.0731, 3.795, -1, -1
7, 0.131789, 4765, 24277, 17.8985, 3.67903, -1, -1
8, 0.0932574, 4765, 24271, 17.8985, 3.66667, -1, -1
9, 0.0338695, 4765, 24271, 17.8985, 3.61455, -1, -1
6, 0.0125814, 5543, 26920, 18.0731, 3.66967, -1, -1
7, 0.102089, 4729, 24066, 17.8985, 3.61972, -1, -1
8, 0.0778175, 4729, 24059, 17.8985, 3.61589, -1, -1
9, 0.035225, 4729, 24059, 17.8985, 3.59345, -1, -1
6, 0.0123502, 5352, 25968, 20.2292, 3.64029, -1, -1
7, 0.104455, 4729, 24072, 7.84999, 3.60195, -1, -1
8, 0.0757865, 4729, 24066, 7.84999, 3.59916, -1, -1
9, 0.0308084, 4729, 24066, 7.77593, 3.58648, -1, -1
7, 0.094587, 4704, 23950, 7.74615, 3.58525, -1, -1
4, 3.4347, 4704, 23950, 7.74615, 3.58525, -1, -1
5, 0.0267006, 1094, 2976, 7.74615, 3.97002, -1, -1
-1, 8.09, 1094, 2976, 7.74615, 3.97002, 0, 301
