0, 0, 244562, 489117, -1, -1, -1, -1
1, 5.75874, 10158, 20031, -1, -1, -1, -1
2, 0.0427642, 10595, 65666, -1, -1, -1, -1
3, 4.13179, 79260, 428206, 1.12701e+10, 104843, 0, -1
7, 6.68749, 9762, 60646, 114636, 21.0147, -1, -1
6, 0.0520447, 15463, 90942, 114636, 20.8883, -1, -1
7, 0.94762, 10890, 66673, 114636, 16.8843, -1, -1
8, 0.498364, 10890, 59560, 5568.97, 10.786, -1, -1
9, 0.215007, 10890, 59560, 4955.66, 8.88732, -1, -1
6, 0.0380498, 12551, 66730, 4955.66, 8.40266, -1, -1
7, 0.980581, 10129, 55453, 1021.9, 7.96549, -1, -1
8, 0.271548, 10129, 54179, 1021.9, 7.42808, -1, -1
9, 0.192615, 10129, 54179, 963.173, 7.0695, -1, -1
6, 0.0345484, 11575, 60190, 963.173, 6.79902, -1, -1
7, 0.66982, 10035, 53737, 963.173, 6.99347, -1, -1
8, 0.204538, 10035, 53195, 963.173, 6.83233, -1, -1
9, 0.164497, 10035, 53195, 958.543, 6.69415, -1, -1
6, 0.0342025, 11256, 58030, 958.543, 6.49326, -1, -1
7, 0.635092, 10012, 53075, 958.543, 6.65751, -1, -1
8, 0.178724, 10012, 52830, 958.543, 6.58183, -1, -1
9, 0.161787, 10012, 52830, 535.379, 6.48438, -1, -1
6, 0.0312416, 11035, 56711, 535.379, 6.32999, -1, -1
7, 0.564022, 9991, 52670, 535.379, 6.46718, -1, -1
8, 0.16032, 9991, 52560, 535.379, 6.43474, -1, -1
9, 0.140874, 9991, 52560, 436.981, 6.39121, -1, -1
6, 0.031428, 10882, 55853, 436.981, 6.26328, -1, -1
7, 0.503371, 9970, 52502, 436.981, 6.38629, -1, -1
8, 0.152219, 9970, 52428, 436.981, 6.37151, -1, -1
9, 0.127773, 9970, 52428, 429.669, 6.34924, -1, -1
6, 0.0318138, 10810, 55440, 429.669, 6.23338, -1, -1
7, 0.498299, 9964, 52397, 429.669, 6.34694, -1, -1
8, 0.148803, 9964, 52349, 429.669, 6.33899, -1, -1
9, 0.132766, 9964, 52349, 427.147, 6.32606, -1, -1
6, 0.0317121, 10767, 55160, 427.147, 6.2176, -1, -1
7, 0.490587, 9997, 52482, 427.147, 6.31716, -1, -1
8, 0.144997, 9997, 52461, 427.147, 6.31011, -1, -1
9, 0.113401, 9997, 52461, 426.323, 6.30017, -1, -1
6, 0.0303971, 10709, 54862, 426.323, 6.20642, -1, -1
7, 0.494407, 9982, 52401, 426.323, 6.30118, -1, -1
8, 0.138978, 9982, 52379, 426.323, 6.29777, -1, -1
9, 0.108382, 9982, 52379, 426.054, 6.29103, -1, -1
6, 0.0484717, 15848, 82319, 426.054, 5.63998, -1, -1
7, 1.03121, 11980, 63496, 426.054, 5.79535, -1, -1
8, 0.312715, 11980, 63428, 426.054, 5.69264, -1, -1
9, 0.156727, 11980, 63428, 422.766, 5.56351, -1, -1
6, 0.040394, 13713, 71285, 422.766, 5.42022, -1, -1
7, 0.592313, 11923, 63257, 422.766, 5.55483, -1, -1
8, 0.221413, 11923, 63190, 422.766, 5.5119, -1, -1
9, 0.157565, 11923, 63190, 419.906, 5.45077, -1, -1
6, 0.0398092, 13171, 68500, 419.906, 5.35497, -1, -1
7, 0.539379, 11863, 62903, 419.906, 5.45403, -1, -1
