0, 0, 250002, 500000, -1, -1, -1, -1
1, 10.8061, 4231, 8256, -1, -1, -1, -1
2, 0.0550355, 4962, 28700, -1, -1, -1, -1
3, 3.01225, 27463, 146360, 4.38937e+09, 68075.3, 0, -1
7, 4.23521, 3938, 22754, 24684.9, 19.3908, -1, -1
6, 0.0470207, 10472, 57098, 24684.9, 14.0527, -1, -1
7, 0.919546, 5274, 29036, 24684.9, 14.0648, -1, -1
8, 0.536209, 5274, 26936, 4465.9, 8.57954, -1, -1
9, 0.421602, 5274, 26936, 4465.9, 6.91523, -1, -1
6, 0.0395404, 7846, 38626, 4465.9, 6.12378, -1, -1
7, 0.809997, 5088, 26226, 1163.94, 5.86631, -1, -1
8, 0.223397, 5088, 25883, 1163.94, 5.60068, -1, -1
9, 0.291476, 5088, 25883, 897.077, 5.32111, -1, -1
6, 0.0469595, 7263, 35139, 897.077, 5.03758, -1, -1
7, 0.50586, 5215, 26498, 897.077, 5.25407, -1, -1
8, 0.162183, 5215, 26398, 897.077, 5.17692, -1, -1
9, 0.390276, 5215, 26398, 897.077, 5.06947, -1, -1
6, 0.34904, 11750, 59520, 897.077, 4.69284, -1, -1
7, 1.4092, 7111, 37103, 897.077, 4.72282, -1, -1
8, 0.429653, 7111, 37069, 897.077, 4.61169, -1, -1
9, 0.420104, 7111, 37069, 897.077, 4.42994, -1, -1
6, 0.0489697, 9917, 49619, 897.077, 4.37888, -1, -1
7, 0.518497, 7191, 37491, 897.077, 4.42793, -1, -1
8, 0.235052, 7191, 37462, 897.077, 4.39534, -1, -1
9, 0.202071, 7191, 37462, 897.077, 4.30793, -1, -1
6, 0.056468, 14437, 74158, 897.077, 4.48745, -1, -1
7, 0.790346, 9357, 50062, 35.9868, 4.19483, -1, -1
8, 0.497035, 9357, 49926, 35.9868, 4.10128, -1, -1
9, 0.246046, 9357, 49926, 28.1695, 3.94275, -1, -1
6, 0.040223, 12095, 61839, 28.1695, 4.02441, -1, -1
7, 0.528789, 9290, 49593, 28.1695, 3.96017, -1, -1
8, 0.300754, 9290, 49564, 28.1695, 3.93923, -1, -1
9, 0.219754, 9290, 49564, 28.1695, 3.87131, -1, -1
6, 0.0578751, 15980, 82939, 25.8382, 4.22496, -1, -1
7, 0.802264, 11114, 59889, 25.4844, 3.95191, -1, -1
8, 0.525501, 11114, 59795, 25.4844, 3.90734, -1, -1
9, 0.242706, 11114, 59795, 21.1325, 3.79569, -1, -1
6, 0.047767, 14190, 73430, 21.1325, 3.93367, -1, -1
7, 0.620599, 11092, 59828, 21.1325, 3.81025, -1, -1
8, 0.356153, 11092, 59818, 21.1325, 3.79708, -1, -1
9, 0.37657, 11092, 59818, 20.5803, 3.74543, -1, -1
6, 0.0425554, 13565, 70335, 20.5803, 3.85718, -1, -1
7, 0.739216, 11081, 59786, 20.5803, 3.76054, -1, -1
8, 0.320144, 11081, 59783, 20.5803, 3.75393, -1, -1
9, 0.36851, 11081, 59783, 19.503, 3.72541, -1, -1
6, 0.0470418, 13363, 69346, 19.503, 3.83065, -1, -1
7, 0.482432, 11107, 59945, 19.503, 3.73783, -1, -1
8, 0.331054, 11107, 59928, 19.503, 3.73221, -1, -1
9, 0.22572, 11107, 59928, 19.0848, 3.71266, -1, -1
6, 0.0411381, 12712, 66509, 26.1388, 3.80755, -1, -1
7, 0.616855, 11240, 60741, 20.5511, 3.73625, -1, -1
8, 0.371179, 11240, 60719, 20.5511, 3.72975, -1, -1
9, 0.213992, 11240, 60719, 19.0848, 3.70705, -1, -1
6, 0.0389974, 12497, 65336, 19.0848, 3.75782, -1, -1
7, 1.15116, 11242, 60714, 19.0848, 3.71514, -1, -1
8, 0.832813, 11242, 60702, 19.0848, 3.71238, -1, -1
9, 0.354352, 11242, 60702, 18.8187, 3.69994, -1, -1
6, 0.0589983, 12236, 64068, 19.2867, 3.74166, -1, -1
7, 0.746004, 11225, 60646, 18.8187, 3.70689, -1, -1
8, 0.331685, 11225, 60645, 18.8187, 3.7052, -1, -1
9, 0.188025, 11225, 60645, 17.9236, 3.6974, -1, -1
6, 0.040489, 12171, 63735, 17.9236, 3.72175, -1, -1
7, 0.555793, 11223, 60625, 17.9236, 3.70038, -1, -1
8, 0.306654, 11223, 60624, 17.9236, 3.69968, -1, -1
9, 0.180313, 11223, 60624, 17.1829, 3.69511, -1, -1
6, 0.0373458, 12143, 63569, 17.1829, 3.71672, -1, -1
7, 0.532227, 11217, 60594, 17.1829, 3.69723, -1, -1
8, 0.30304, 11217, 60592, 17.1829, 3.69695, -1, -1
9, 0.171043, 11217, 60592, 16.8856, 3.69412, -1, -1
6, 0.0379036, 12132, 63546, 20.3566, 3.72148, -1, -1
7, 0.537762, 11222, 60619, 17.6656, 3.69616, -1, -1
8, 0.303537, 11222, 60620, 17.6656, 3.69554, -1, -1
9, 0.161548, 11222, 60620, 15.7126, 3.6928, -1, -1
6, 0.0374189, 12120, 63478, 15.7126, 3.71439, -1, -1
7, 0.549404, 11219, 60601, 15.7126, 3.6947, -1, -1
8, 0.29984, 11219, 60601, 15.7126, 3.69439, -1, -1
9, 0.146535, 11219, 60601, 15.7126, 3.69264, -1, -1
6, 0.0377723, 12186, 63810, 15.7126, 3.72396, -1, -1
7, 0.547864, 11246, 60749, 15.7126, 3.697, -1, -1
8, 0.315756, 11246, 60749, 15.7126, 3.69591, -1, -1
9, 0.155306, 11246, 60749, 15.5143, 3.69312, -1, -1
6, 0.0405274, 12162, 63690, 15.5143, 3.71899, -1, -1
7, 0.582363, 11248, 60753, 15.5143, 3.69491, -1, -1
8, 0.294735, 11248, 60750, 15.5143, 3.69421, -1, -1
9, 0.140479, 11248, 60750, 15.5143, 3.6924, -1, -1
6, 0.0380693, 12205, 63914, 15.5143, 3.7218, -1, -1
7, 0.543162, 11248, 60763, 8.803, 3.69331, -1, -1
8, 0.29979, 11248, 60761, 8.6512, 3.69245, -1, -1
9, 0.139577, 11248, 60761, 8.52876, 3.69004, -1, -1
7, 0.499131, 11219, 60616, 8.37588, 3.68963, -1, -1
4, 33.4957, 11219, 60616, 8.37588, 3.68963, -1, -1
5, 0.131005, 5060, 17707, 7.79437, 3.79251, -1, -1
-1, 47.5001, 5060, 17707, 7.79437, 3.79251, 0, 297
